Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2020,Valencia,NM,Passenger,1,0,1,7,8,12.50
August 31 2020,Walla Walla,WA,Passenger,80,65,145,35861,36006,0.40
May 31 2022,Island,WA,Truck,1,0,1,21349,21350,0.00
August 31 2022,San Mateo,CA,Passenger,2,0,2,94,96,2.08
September 30 2024,Clackamas,OR,Passenger,0,1,1,72,73,1.37
August 31 2023,Kitsap,WA,Truck,84,0,84,52049,52133,0.16
June 30 2024,Nassau,NY,Passenger,2,0,2,18,20,10.00
December 31 2017,Ramsey,MN,Passenger,1,0,1,40,41,2.44
December 31 2018,Flathead,MT,Passenger,1,0,1,63,64,1.56
May 31 2022,Nueces,TX,Passenger,1,1,2,65,67,2.99
February 28 2017,Marin,CA,Passenger,1,0,1,61,62,1.61
February 28 2023,Chatham,NC,Passenger,1,0,1,6,7,14.29
September 30 2020,Franklin,WA,Passenger,67,75,142,60895,61037,0.23
June 30 2022,Pend Oreille,WA,Passenger,17,11,28,9033,9061,0.31
June 30 2019,Clark,WA,Passenger,1537,924,2461,313729,316190,0.78
May 31 2023,Riverside,CA,Passenger,9,1,10,448,458,2.18
May 31 2018,Kitsap,WA,Truck,1,0,1,53094,53095,0.00
June 30 2018,Honolulu,HI,Passenger,1,2,3,537,540,0.56
May 31 2020,New London,CT,Passenger,1,1,2,237,239,0.84
April 30 2023,Hillsborough,FL,Passenger,1,1,2,127,129,1.55
September 30 2024,Douglas,NE,Passenger,1,1,2,20,22,9.09
June 30 2023,Okaloosa,FL,Passenger,0,2,2,99,101,1.98
June 30 2023,District of Columbia,DC,Passenger,2,0,2,139,141,1.42
December 31 2022,Hamilton,OH,Passenger,1,0,1,36,37,2.70
May 31 2023,Bartow,GA,Passenger,0,1,1,4,5,20.00
March 31 2017,Honolulu,HI,Passenger,4,2,6,628,634,0.95
March 31 2024,Grays Harbor,WA,Truck,19,0,19,20726,20745,0.09
March 31 2018,Ada,ID,Passenger,0,2,2,356,358,0.56
December 31 2021,Kitsap,WA,Passenger,2118,949,3067,179668,182735,1.68
November 30 2022,Marion,IN,Passenger,1,0,1,43,44,2.27
April 30 2023,Henrico,VA,Passenger,0,1,1,16,17,5.88
January 31 2020,Fresno,CA,Passenger,1,0,1,209,210,0.48
July 31 2024,Albemarle,VA,Passenger,2,0,2,14,16,12.50
July 31 2020,Boulder,CO,Passenger,1,1,2,50,52,3.85
January 31 2019,Larimer,CO,Passenger,1,0,1,58,59,1.69
November 30 2020,Sumter,FL,Passenger,0,1,1,10,11,9.09
November 30 2017,Bexar,TX,Passenger,1,1,2,837,839,0.24
August 31 2022,Kitsap,WA,Truck,19,0,19,53138,53157,0.04
November 30 2017,Stevens,WA,Passenger,10,21,31,31547,31578,0.10
November 30 2020,Klickitat,WA,Truck,0,0,0,8078,8078,0.00
November 30 2024,Walla Walla,WA,Truck,21,0,21,13210,13231,0.16
April 30 2019,Asotin,WA,Passenger,12,8,20,12655,12675,0.16
January 31 2023,Pima,AZ,Passenger,1,0,1,246,247,0.40
March 31 2024,Douglas,NE,Passenger,1,1,2,30,32,6.25
June 30 2018,Garfield,OK,Passenger,1,0,1,19,20,5.00
May 31 2018,DeKalb,GA,Passenger,1,0,1,83,84,1.19
August 31 2021,Champaign,IL,Passenger,1,0,1,12,13,7.69
July 31 2023,Franklin,OH,Passenger,1,0,1,53,54,1.85
August 31 2023,Sarpy,NE,Passenger,1,0,1,59,60,1.67
October 31 2023,Pulaski,MO,Passenger,2,0,2,97,99,2.02
August 31 2024,Montgomery,AL,Passenger,2,1,3,25,28,10.71
June 30 2022,Lincoln,OR,Passenger,0,1,1,32,33,3.03
September 30 2019,Kitsap,WA,Truck,1,0,1,54195,54196,0.00
March 31 2018,Spokane,WA,Passenger,304,269,573,301186,301759,0.19
August 31 2022,Cowlitz,WA,Truck,2,0,2,28419,28421,0.01
May 31 2019,Pacific,WA,Truck,0,0,0,7654,7654,0.00
May 31 2023,Allen,IN,Passenger,1,0,1,13,14,7.14
April 30 2022,Clallam,WA,Truck,1,0,1,21974,21975,0.00
March 31 2019,Yakima,WA,Passenger,89,102,191,164166,164357,0.12
April 30 2024,Muscogee,GA,Passenger,2,2,4,89,93,4.30
April 30 2020,Bucks,PA,Passenger,1,0,1,24,25,4.00
January 31 2020,Kent,MI,Passenger,0,1,1,30,31,3.23
June 30 2020,Ulster,NY,Passenger,1,0,1,12,13,7.69
April 30 2019,Skagit,WA,Truck,1,0,1,32317,32318,0.00
January 31 2017,Spokane,WA,Truck,1,0,1,90411,90412,0.00
September 30 2019,Yakima,WA,Truck,0,0,0,59386,59386,0.00
August 31 2021,Allegheny,PA,Passenger,2,1,3,74,77,3.90
September 30 2020,Suffolk,MA,Passenger,0,2,2,39,41,4.88
March 31 2023,Jefferson,NY,Passenger,2,0,2,207,209,0.96
August 31 2019,Goochland,VA,Passenger,1,1,2,271,273,0.73
November 30 2022,Ulster,NY,Passenger,1,0,1,10,11,9.09
February 28 2018,DuPage,IL,Passenger,1,0,1,67,68,1.47
June 30 2021,Larimer,CO,Passenger,1,0,1,50,51,1.96
August 31 2023,Maui,HI,Passenger,1,0,1,21,22,4.55
December 31 2020,Sumter,FL,Passenger,0,1,1,10,11,9.09
March 31 2024,Hawaii,HI,Passenger,1,0,1,28,29,3.45
November 30 2023,Kittitas,WA,Truck,19,0,19,14614,14633,0.13
April 30 2023,Bell,TX,Passenger,1,0,1,293,294,0.34
December 31 2019,Honolulu,HI,Passenger,4,2,6,507,513,1.17
November 30 2024,Montgomery,MD,Passenger,6,1,7,154,161,4.35
July 31 2020,Travis,TX,Passenger,3,2,5,188,193,2.59
May 31 2022,Franklin,WA,Passenger,181,110,291,61944,62235,0.47
September 30 2022,Whitman,WA,Truck,2,0,2,8570,8572,0.02
June 30 2022,Walla Walla,WA,Passenger,171,100,271,35858,36129,0.75
January 31 2018,Riverside,CA,Passenger,1,2,3,746,749,0.40
October 31 2019,Camden,NJ,Passenger,0,1,1,22,23,4.35
February 29 2024,Clark,WA,Passenger,7548,2761,10309,313356,323665,3.19
September 30 2021,Skamania,WA,Truck,0,0,0,4039,4039,0.00
October 31 2022,Harris,TX,Passenger,1,0,1,182,183,0.55
June 30 2022,DuPage,IL,Passenger,3,1,4,54,58,6.90
April 30 2023,Adams,WA,Truck,2,0,2,5334,5336,0.04
April 30 2024,Nassau,NY,Passenger,2,0,2,19,21,9.52
July 31 2021,Dallas,TX,Passenger,1,0,1,169,170,0.59
December 31 2021,Baltimore,MD,Passenger,1,0,1,98,99,1.01
July 31 2021,Charleston,SC,Passenger,1,1,2,90,92,2.17
February 28 2018,San Mateo,CA,Passenger,0,1,1,140,141,0.71
December 31 2021,Yamhill,OR,Passenger,1,0,1,38,39,2.56
May 31 2023,Pulaski,MO,Passenger,3,0,3,96,99,3.03
June 30 2021,Wilson,NC,Passenger,1,0,1,1,2,50.00
June 30 2024,Spokane,WA,Passenger,3361,1644,5005,320923,325928,1.54
December 31 2020,Whatcom,WA,Passenger,1214,548,1762,149919,151681,1.16
July 31 2019,Multnomah,OR,Passenger,5,6,11,776,787,1.40
December 31 2018,Maui,HI,Passenger,2,0,2,53,55,3.64
August 31 2024,Ferry,WA,Truck,0,0,0,3417,3417,0.00
February 28 2022,Okanogan,WA,Truck,0,0,0,16694,16694,0.00
May 31 2021,Manassas,VA,Passenger,0,1,1,6,7,14.29
April 30 2017,Middlesex,MA,Passenger,1,0,1,145,146,0.68
April 30 2018,Hamilton,IN,Passenger,1,0,1,47,48,2.08
July 31 2020,Shasta,CA,Passenger,1,0,1,38,39,2.56
June 30 2023,Pend Oreille,WA,Truck,0,0,0,5605,5605,0.00
October 31 2024,Kitsap,WA,Passenger,5054,1785,6839,172452,179291,3.81
November 30 2021,Camden,NJ,Passenger,0,1,1,13,14,7.14
October 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
March 31 2018,St. Lucie,FL,Passenger,1,0,1,27,28,3.57
April 30 2018,Santa Fe,NM,Passenger,0,1,1,41,42,2.38
December 31 2019,Maricopa,AZ,Passenger,9,8,17,1636,1653,1.03
February 29 2020,Jefferson,WA,Truck,0,0,0,9640,9640,0.00
September 30 2022,Garfield,WA,Passenger,1,3,4,1310,1314,0.30
September 30 2018,Whitman,WA,Passenger,20,32,52,22678,22730,0.23
June 30 2024,Bell,TX,Passenger,2,0,2,209,211,0.95
November 30 2022,Franklin,OH,Passenger,1,0,1,64,65,1.54
February 28 2017,Bergen,NJ,Passenger,0,2,2,32,34,5.88
October 31 2022,Lake,IN,Passenger,0,1,1,12,13,7.69
February 28 2023,Hudson,NJ,Passenger,2,0,2,30,32,6.25
January 31 2017,Hamilton,TN,Passenger,1,0,1,29,30,3.33
July 31 2021,Botetourt,VA,Passenger,1,0,1,0,1,100.00
April 30 2018,Grays Harbor,WA,Truck,0,0,0,20124,20124,0.00
September 30 2019,Columbia,WA,Passenger,3,2,5,2447,2452,0.20
September 30 2017,Norfolk,MA,Passenger,1,0,1,41,42,2.38
June 30 2023,St. Louis,MO,Passenger,1,0,1,57,58,1.72
November 30 2017,Garfield,WA,Passenger,1,0,1,1315,1316,0.08
May 31 2020,Loudoun,VA,Passenger,1,0,1,89,90,1.11
May 31 2021,Williamson,TX,Passenger,0,2,2,131,133,1.50
November 30 2024,Douglas,NE,Passenger,1,1,2,19,21,9.52
October 31 2020,Powhatan,VA,Passenger,1,0,1,1,2,50.00
November 30 2018,Riverside,CA,Passenger,2,2,4,704,708,0.56
January 31 2018,Okanogan,WA,Truck,0,0,0,16333,16333,0.00
June 30 2019,Maricopa,AZ,Passenger,6,5,11,1640,1651,0.67
October 31 2022,Klickitat,WA,Truck,3,0,3,8240,8243,0.04
May 31 2021,Okanogan,WA,Truck,0,0,0,16742,16742,0.00
January 31 2022,Garfield,WA,Passenger,0,3,3,1350,1353,0.22
June 30 2017,DeKalb,GA,Passenger,1,0,1,87,88,1.14
June 30 2017,Bergen,NJ,Passenger,0,2,2,31,33,6.06
August 31 2017,Lake,CA,Passenger,0,1,1,15,16,6.25
September 30 2018,Cameron,TX,Passenger,1,0,1,30,31,3.23
October 31 2020,Bartow,GA,Passenger,0,1,1,5,6,16.67
December 31 2018,DeKalb,IN,Passenger,1,0,1,1,2,50.00
May 31 2020,DeKalb,IN,Passenger,1,0,1,1,2,50.00
October 31 2022,Douglas,WA,Passenger,158,59,217,28401,28618,0.76
January 31 2018,El Paso,TX,Passenger,1,0,1,515,516,0.19
January 31 2019,Grays Harbor,WA,Passenger,67,75,142,47439,47581,0.30
December 31 2023,Grant,WA,Truck,14,0,14,28060,28074,0.05
July 31 2018,Bexar,TX,Passenger,2,4,6,755,761,0.79
October 31 2017,Montgomery,TN,Passenger,1,0,1,276,277,0.36
July 31 2018,Sedgwick,KS,Passenger,0,1,1,102,103,0.97
December 31 2020,Placer,CA,Passenger,2,0,2,92,94,2.13
October 31 2021,Contra Costa,CA,Passenger,1,3,4,253,257,1.56
November 30 2024,Prince George's,MD,Passenger,3,1,4,98,102,3.92
June 30 2023,Alameda,CA,Passenger,6,2,8,192,200,4.00
April 30 2023,Douglas,CO,Passenger,0,2,2,65,67,2.99
February 28 2023,Lake,IL,Passenger,2,0,2,131,133,1.50
June 30 2020,Rockingham,NH,Passenger,1,0,1,25,26,3.85
July 31 2023,San Benito,CA,Passenger,1,0,1,7,8,12.50
January 31 2022,Wilson,NC,Passenger,1,0,1,1,2,50.00
March 31 2019,Bexar,TX,Passenger,2,4,6,694,700,0.86
June 30 2021,El Paso,TX,Passenger,4,0,4,400,404,0.99
November 30 2021,Geary,KS,Passenger,1,0,1,103,104,0.96
July 31 2020,Washington,OR,Passenger,1,0,1,461,462,0.22
October 31 2021,Missoula,MT,Passenger,1,0,1,58,59,1.69
September 30 2024,Charles,MD,Passenger,2,1,3,44,47,6.38
July 31 2024,Cumberland,PA,Passenger,1,0,1,36,37,2.70
November 30 2021,Pierce,WA,Passenger,4116,2099,6215,556294,562509,1.10
September 30 2024,Honolulu,HI,Passenger,3,1,4,213,217,1.84
February 28 2022,Tarrant,TX,Passenger,3,0,3,153,156,1.92
July 31 2022,Jefferson,WA,Passenger,440,220,660,24506,25166,2.62
December 31 2021,Kitsap,WA,Truck,0,0,0,54090,54090,0.00
October 31 2023,,,Passenger,6,1,7,255,262,2.67
January 31 2020,San Juan,WA,Passenger,264,83,347,14395,14742,2.35
July 31 2024,Berkeley,SC,Passenger,2,1,3,84,87,3.45
February 28 2023,Richmond,GA,Passenger,0,1,1,62,63,1.59
February 28 2021,Montgomery,PA,Passenger,1,0,1,26,27,3.70
November 30 2018,Cochise,AZ,Passenger,0,1,1,115,116,0.86
December 31 2023,Essex,MA,Passenger,1,0,1,13,14,7.14
October 31 2017,Marin,CA,Passenger,1,0,1,58,59,1.69
March 31 2023,Washoe,NV,Passenger,2,0,2,61,63,3.17
June 30 2020,Kent,MI,Passenger,0,1,1,30,31,3.23
December 31 2022,St. Lawrence,NY,Passenger,1,0,1,5,6,16.67
March 31 2024,St. Lawrence,NY,Passenger,1,0,1,4,5,20.00
October 31 2023,Cameron,TX,Passenger,1,0,1,16,17,5.88
September 30 2021,Louisa,VA,Passenger,0,1,1,1,2,50.00
January 31 2017,Bexar,TX,Passenger,3,3,6,1267,1273,0.47
October 31 2024,Lewis,WA,Truck,23,0,23,25251,25274,0.09
October 31 2019,Chelan,WA,Passenger,191,75,266,54648,54914,0.48
July 31 2020,Lincoln,WA,Truck,0,0,0,4656,4656,0.00
February 29 2020,Travis,TX,Passenger,3,2,5,202,207,2.42
April 30 2018,Gwinnett,GA,Passenger,0,1,1,85,86,1.16
November 30 2021,Kings,CA,Passenger,2,0,2,326,328,0.61
April 30 2021,Hillsborough,FL,Passenger,0,1,1,162,163,0.61
November 30 2018,Palm Beach,FL,Passenger,0,2,2,96,98,2.04
March 31 2024,San Luis Obispo,CA,Passenger,0,1,1,38,39,2.56
October 31 2022,Beaufort,SC,Passenger,1,0,1,33,34,2.94
March 31 2023,Ulster,NY,Passenger,1,0,1,9,10,10.00
December 31 2022,Hamilton,OH,Truck,1,0,1,3,4,25.00
May 31 2023,Brown,WI,Passenger,1,0,1,5,6,16.67
June 30 2023,Kittitas,WA,Truck,8,0,8,14591,14599,0.05
April 30 2022,Klickitat,WA,Truck,0,0,0,8272,8272,0.00
December 31 2019,Loudoun,VA,Passenger,1,0,1,95,96,1.04
July 31 2019,Klickitat,WA,Truck,0,0,0,8247,8247,0.00
May 31 2024,DuPage,IL,Passenger,3,1,4,28,32,12.50
April 30 2021,Saginaw,MI,Passenger,2,0,2,11,13,15.38
May 31 2020,Calvert,MD,Passenger,0,2,2,89,91,2.20
September 30 2022,Lake,FL,Passenger,1,0,1,22,23,4.35
March 31 2018,Juneau,AK,Passenger,0,1,1,46,47,2.13
June 30 2024,Spotsylvania,VA,Passenger,1,1,2,25,27,7.41
November 30 2017,DeKalb,IN,Passenger,1,0,1,1,2,50.00
December 31 2018,Yakima,WA,Passenger,82,99,181,164724,164905,0.11
September 30 2018,Ferry,WA,Truck,0,0,0,3557,3557,0.00
May 31 2020,Montgomery,TX,Passenger,1,0,1,57,58,1.72
August 31 2022,Skamania,WA,Passenger,82,49,131,8122,8253,1.59
January 31 2024,Harford,MD,Passenger,1,1,2,43,45,4.44
May 31 2022,Lane,OR,Passenger,0,2,2,114,116,1.72
July 31 2020,Orange,CA,Passenger,7,2,9,519,528,1.70
July 31 2018,King,WA,Truck,7,1,8,182921,182929,0.00
June 30 2020,Jefferson,WA,Passenger,237,139,376,24775,25151,1.49
April 30 2023,El Paso,CO,Passenger,3,3,6,551,557,1.08
July 31 2019,Carson City,NV,Passenger,1,0,1,11,12,8.33
September 30 2022,Portsmouth,VA,Passenger,0,1,1,73,74,1.35
December 31 2022,Montgomery,PA,Passenger,1,0,1,24,25,4.00
January 31 2023,Hardin,KY,Passenger,1,0,1,63,64,1.56
September 30 2021,Orange,NC,Passenger,1,0,1,12,13,7.69
June 30 2024,Polk,OR,Passenger,1,1,2,13,15,13.33
July 31 2020,Lee,FL,Passenger,1,0,1,50,51,1.96
June 30 2022,San Juan,WA,Truck,1,0,1,5982,5983,0.02
November 30 2021,Walla Walla,WA,Truck,0,0,0,14073,14073,0.00
January 31 2021,Platte,MO,Passenger,1,0,1,19,20,5.00
August 31 2017,Yakima,WA,Truck,0,0,0,57635,57635,0.00
May 31 2019,Clallam,WA,Truck,0,0,0,21743,21743,0.00
April 30 2020,Lake,IL,Passenger,1,0,1,175,176,0.57
March 31 2024,Bexar,TX,Passenger,2,4,6,355,361,1.66
January 31 2020,King,WA,Truck,6,1,7,182579,182586,0.00
October 31 2019,Volusia,FL,Passenger,0,1,1,44,45,2.22
January 31 2022,Williamsburg,VA,Passenger,0,1,1,6,7,14.29
May 31 2023,Middlesex,NJ,Passenger,1,0,1,21,22,4.55
November 30 2021,Yavapai,AZ,Passenger,0,1,1,42,43,2.33
January 31 2019,Flathead,MT,Passenger,1,0,1,66,67,1.49
November 30 2017,,,Passenger,3,0,3,437,440,0.68
June 30 2020,Bexar,TX,Passenger,2,5,7,631,638,1.10
October 31 2023,Lexington,SC,Passenger,1,0,1,21,22,4.55
February 28 2023,Madison,IL,Passenger,2,0,2,16,18,11.11
February 28 2023,Montgomery,PA,Passenger,1,0,1,23,24,4.17
October 31 2023,Hawaii,HI,Passenger,1,0,1,29,30,3.33
June 30 2019,Wahkiakum,WA,Passenger,2,2,4,3008,3012,0.13
October 31 2022,Yakima,WA,Passenger,395,212,607,166161,166768,0.36
August 31 2021,Skagit,WA,Passenger,620,286,906,91616,92522,0.98
May 31 2023,San Juan,WA,Passenger,605,176,781,13811,14592,5.35
December 31 2019,Harrison,MS,Passenger,1,0,1,63,64,1.56
May 31 2021,Kings,NY,Passenger,1,0,1,74,75,1.33
January 31 2024,Kauai,HI,Passenger,0,1,1,13,14,7.14
December 31 2023,Currituck,NC,Passenger,1,0,1,18,19,5.26
July 31 2024,Chelan,WA,Truck,59,0,59,22965,23024,0.26
October 31 2019,Mason,WA,Passenger,140,126,266,47545,47811,0.56
October 31 2019,Adams,WA,Passenger,6,6,12,12900,12912,0.09
September 30 2021,Kitsap,WA,Truck,0,0,0,54241,54241,0.00
August 31 2021,Jefferson,WA,Passenger,347,184,531,24826,25357,2.09
October 31 2023,Jefferson,WA,Truck,13,0,13,9268,9281,0.14
July 31 2017,Norfolk,MA,Passenger,1,0,1,40,41,2.44
August 31 2023,Allegheny,PA,Passenger,1,0,1,63,64,1.56
October 31 2024,St. Lawrence,NY,Passenger,1,0,1,3,4,25.00
August 31 2024,DeKalb,GA,Passenger,1,0,1,30,31,3.23
April 30 2020,Cowlitz,WA,Truck,0,0,0,28755,28755,0.00
March 31 2019,Chelan,WA,Truck,0,0,0,22117,22117,0.00
October 31 2018,Clackamas,OR,Passenger,0,1,1,224,225,0.44
July 31 2023,Broward,FL,Passenger,1,0,1,66,67,1.49
September 30 2019,Harrison,MS,Passenger,1,0,1,65,66,1.52
January 31 2024,Geary,KS,Passenger,1,0,1,74,75,1.33
January 31 2020,Juneau,AK,Passenger,0,2,2,35,37,5.41
January 31 2024,Philadelphia,PA,Passenger,0,1,1,37,38,2.63
May 31 2019,Larimer,CO,Passenger,1,0,1,57,58,1.72
March 31 2022,Virginia Beach,VA,Passenger,1,0,1,572,573,0.17
August 31 2020,Kern,CA,Passenger,0,1,1,220,221,0.45
February 28 2019,Pend Oreille,WA,Passenger,5,5,10,9478,9488,0.11
April 30 2018,Okanogan,WA,Truck,0,0,0,16351,16351,0.00
June 30 2017,Thurston,WA,Truck,0,0,0,53264,53264,0.00
May 31 2023,Denton,TX,Passenger,2,0,2,63,65,3.08
May 31 2017,Cobb,GA,Passenger,0,1,1,80,81,1.23
July 31 2021,Hamilton,IN,Passenger,2,0,2,37,39,5.13
May 31 2023,Larimer,CO,Passenger,1,0,1,38,39,2.56
June 30 2024,Fredericksburg,VA,Passenger,1,0,1,4,5,20.00
June 30 2017,Maricopa,AZ,Passenger,1,1,2,1821,1823,0.11
April 30 2017,Salt Lake,UT,Passenger,1,1,2,291,293,0.68
May 31 2023,Skamania,WA,Truck,1,0,1,3844,3845,0.03
November 30 2020,Chelan,WA,Truck,0,0,0,22758,22758,0.00
October 31 2024,Whitman,WA,Passenger,268,139,407,21603,22010,1.85
April 30 2021,Manassas,VA,Passenger,0,1,1,6,7,14.29
April 30 2020,Ramsey,MN,Passenger,1,0,1,48,49,2.04
April 30 2019,Alexandria,VA,Passenger,1,0,1,151,152,0.66
June 30 2022,Hudson,NJ,Passenger,2,0,2,38,40,5.00
April 30 2021,Orange,NC,Passenger,1,0,1,11,12,8.33
March 31 2020,Fresno,CA,Passenger,1,0,1,208,209,0.48
April 30 2021,Queens,NY,Passenger,2,0,2,54,56,3.57
October 31 2018,Cowlitz,WA,Passenger,68,86,154,72151,72305,0.21
October 31 2020,Asotin,WA,Truck,0,0,0,6683,6683,0.00
November 30 2022,Clark,NV,Passenger,10,3,13,556,569,2.28
May 31 2019,Alameda,CA,Passenger,2,2,4,324,328,1.22
August 31 2021,Los Angeles,CA,Passenger,9,8,17,927,944,1.80
June 30 2021,Skagit,WA,Passenger,589,273,862,91869,92731,0.93
November 30 2017,Brevard,FL,Passenger,0,1,1,107,108,0.93
May 31 2019,Nueces,TX,Passenger,1,1,2,97,99,2.02
January 31 2023,Washtenaw,MI,Passenger,0,2,2,30,32,6.25
March 31 2023,Mercer,NJ,Passenger,0,1,1,12,13,7.69
December 31 2020,Hampshire,MA,Passenger,1,0,1,10,11,9.09
May 31 2021,Clackamas,OR,Passenger,2,0,2,191,193,1.04
September 30 2022,Burlington,NJ,Passenger,0,2,2,96,98,2.04
June 30 2024,Whatcom,WA,Truck,108,0,108,42330,42438,0.25
July 31 2022,King,WA,Truck,123,2,125,180136,180261,0.07
September 30 2021,Anne Arundel,MD,Passenger,3,1,4,370,374,1.07
October 31 2024,Lewis,WA,Passenger,544,419,963,58814,59777,1.61
June 30 2024,Prince George,VA,Passenger,2,0,2,41,43,4.65
January 31 2017,Franklin,WA,Passenger,27,42,69,55381,55450,0.12
March 31 2021,Ventura,CA,Passenger,1,2,3,290,293,1.02
December 31 2017,Montgomery,TN,Passenger,1,0,1,274,275,0.36
April 30 2018,Riverside,CA,Passenger,2,2,4,723,727,0.55
August 31 2019,Snohomish,WA,Truck,0,0,0,122837,122837,0.00
July 31 2018,Jefferson,CO,Passenger,0,1,1,62,63,1.59
June 30 2021,Montgomery,OH,Passenger,0,1,1,57,58,1.72
October 31 2024,Berkeley,SC,Passenger,1,1,2,73,75,2.67
June 30 2020,Brevard,FL,Passenger,0,1,1,87,88,1.14
April 30 2022,Washington,MD,Passenger,2,0,2,12,14,14.29
January 31 2021,Oldham,KY,Passenger,0,1,1,5,6,16.67
June 30 2021,Clark,WA,Passenger,2832,1418,4250,322275,326525,1.30
October 31 2024,Salt Lake,UT,Passenger,1,0,1,83,84,1.19
September 30 2023,Franklin,WA,Passenger,357,151,508,62073,62581,0.81
February 29 2024,Yakima,WA,Passenger,685,308,993,166558,167551,0.59
January 31 2023,Leavenworth,KS,Passenger,0,1,1,93,94,1.06
June 30 2022,Fresno,CA,Passenger,1,0,1,163,164,0.61
March 31 2019,Santa Rosa,FL,Passenger,1,0,1,88,89,1.12
August 31 2023,Flathead,MT,Passenger,1,0,1,25,26,3.85
June 30 2019,Shasta,CA,Passenger,1,0,1,43,44,2.27
May 31 2024,Tompkins,NY,Passenger,1,0,1,11,12,8.33
November 30 2023,Clark,WA,Passenger,6923,2599,9522,313433,322955,2.95
February 28 2023,Klickitat,WA,Passenger,126,57,183,15097,15280,1.20
August 31 2021,Lincoln,WA,Truck,0,0,0,4770,4770,0.00
December 31 2019,Anne Arundel,MD,Passenger,1,1,2,427,429,0.47
September 30 2018,Whatcom,WA,Passenger,667,334,1001,148451,149452,0.67
July 31 2022,Grays Harbor,WA,Passenger,213,162,375,48868,49243,0.76
January 31 2017,Ventura,CA,Passenger,0,2,2,403,405,0.49
October 31 2019,Lincoln,WA,Passenger,2,11,13,7831,7844,0.17
December 31 2020,Harrison,MS,Passenger,2,0,2,55,57,3.51
May 31 2021,Lee,FL,Passenger,1,0,1,41,42,2.38
August 31 2024,Richmond,VA,Passenger,1,0,1,8,9,11.11
November 30 2019,Grant,WA,Truck,0,0,0,26945,26945,0.00
August 31 2019,Monterey,CA,Passenger,0,1,1,194,195,0.51
July 31 2017,Columbia,WA,Truck,0,0,0,1534,1534,0.00
September 30 2021,Columbia,OR,Passenger,1,0,1,22,23,4.35
December 31 2020,Shelby,OH,Passenger,0,1,1,2,3,33.33
May 31 2020,Douglas,NE,Passenger,0,1,1,60,61,1.64
October 31 2024,Cowlitz,WA,Passenger,785,300,1085,68531,69616,1.56
October 31 2020,Ferry,WA,Truck,0,0,0,3596,3596,0.00
March 31 2018,Pima,AZ,Passenger,1,1,2,444,446,0.45
October 31 2023,Allen,IN,Passenger,1,0,1,10,11,9.09
February 28 2022,Geary,KS,Passenger,1,0,1,97,98,1.02
October 31 2023,New London,CT,Passenger,1,3,4,174,178,2.25
July 31 2022,Platte,MO,Passenger,1,0,1,24,25,4.00
December 31 2023,Jefferson,IL,Passenger,1,0,1,1,2,50.00
August 31 2020,Mercer,NJ,Passenger,0,1,1,13,14,7.14
February 28 2023,Louisa,VA,Passenger,0,1,1,1,2,50.00
April 30 2023,Chatham,NC,Passenger,1,0,1,6,7,14.29
July 31 2017,Marion,OR,Passenger,1,0,1,166,167,0.60
March 31 2021,Skamania,WA,Truck,0,0,0,4025,4025,0.00
July 31 2022,Clallam,WA,Truck,3,0,3,21867,21870,0.01
August 31 2018,Richland,SC,Passenger,0,1,1,173,174,0.57
April 30 2023,Island,WA,Passenger,1007,420,1427,60919,62346,2.29
June 30 2019,El Paso,TX,Passenger,3,0,3,475,478,0.63
November 30 2024,Escambia,FL,Passenger,0,1,1,89,90,1.11
March 31 2023,Harford,MD,Passenger,1,1,2,45,47,4.26
December 31 2018,Orange,FL,Passenger,3,0,3,168,171,1.75
November 30 2019,Montgomery,PA,Passenger,2,0,2,37,39,5.13
January 31 2017,Manatee,FL,Passenger,1,0,1,62,63,1.59
November 30 2024,Loudoun,VA,Passenger,2,1,3,52,55,5.45
May 31 2021,Santa Clara,CA,Passenger,11,3,14,287,301,4.65
March 31 2019,Benton,WA,Truck,0,0,0,41527,41527,0.00
October 31 2022,Palm Beach,FL,Passenger,1,1,2,60,62,3.23
January 31 2017,Island,WA,Truck,1,0,1,20509,20510,0.00
December 31 2017,Spokane,WA,Passenger,297,237,534,300019,300553,0.18
October 31 2018,Clallam,WA,Passenger,136,115,251,50301,50552,0.50
May 31 2022,Harnett,NC,Passenger,3,0,3,167,170,1.76
August 31 2018,Tarrant,TX,Passenger,1,0,1,217,218,0.46
December 31 2021,Essex,NJ,Passenger,2,0,2,14,16,12.50
May 31 2024,Burlington,NJ,Passenger,0,1,1,70,71,1.41
February 28 2022,Pulaski,MO,Passenger,2,0,2,121,123,1.63
December 31 2020,Dallas,IA,Passenger,0,1,1,11,12,8.33
December 31 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
July 31 2022,Cowlitz,WA,Truck,2,0,2,28448,28450,0.01
April 30 2019,Walla Walla,WA,Truck,0,0,0,13601,13601,0.00
September 30 2023,San Juan,WA,Passenger,651,185,836,13757,14593,5.73
February 29 2024,Cook,IL,Passenger,2,2,4,153,157,2.55
December 31 2019,Kitsap,WA,Truck,1,0,1,54424,54425,0.00
February 28 2017,Whatcom,WA,Truck,2,0,2,41319,41321,0.00
